district,candidate,party,total_votes,won
Texas's 5th district,Carolyn Salter,DEM,100743,FALSE
Texas's 5th district,Kevin Hale,LIB,5834,FALSE
Texas's 6th district,Ron Wright,REP,179507,TRUE
Texas's 6th district,Stephen Daniel,DEM,149530,FALSE
Texas's 6th district,Melanie Black,LIB,10955,FALSE
Texas's 7th district,Lizzie Fletcher,DEM,159529,TRUE
Texas's 7th district,Wesley Hunt,REP,149054,FALSE
Texas's 7th district,Shawn Kelly,LIB,5542,FALSE
Texas's 8th district,Kevin Brady,REP,277327,TRUE
Texas's 8th district,Elizabeth Hernandez,DEM,97409,FALSE
Texas's 8th district,Chris Duncan,LIB,7735,FALSE
Texas's 9th district,Al Green,DEM,172938,TRUE
Texas's 9th district,Johnny Teague,REP,49575,FALSE
Texas's 9th district,Jose Sosa,LIB,6594,FALSE
Texas's 10th district,Michael McCaul,REP,217216,TRUE
Texas's 10th district,Mike Siegel,DEM,187686,FALSE
Texas's 10th district,Roy Eriksen,LIB,8992,FALSE
Texas's 11th district,August Pfluger,REP,232568,TRUE
Texas's 11th district,Jon Mark Hogg,DEM,53394,FALSE
Texas's 11th district,Wacey Cody,LIB,5811,FALSE
Texas's 12th district,Kay Granger,REP,233853,TRUE
Texas's 12th district,Lisa Welch,DEM,121250,FALSE
Texas's 12th district,Trey Holcomb,LIB,11918,FALSE
Texas's 13th district,Ronny Jackson,REP,217124,TRUE
Texas's 13th district,Gus Trujillo,DEM,50477,FALSE
Texas's 13th district,Jack Westbrook,LIB,5907,FALSE
Texas's 14th district,Randy Weber,REP,190541,TRUE
Texas's 14th district,Adrienne Bell,DEM,118574,FALSE
Texas's 15th district,Vicente Gonzalez,DEM,115605,TRUE
Texas's 15th district,Monica De La Cruz-Hernandez,REP,109017,FALSE
Texas's 15th district,Ross Leone,LIB,4295,FALSE
Texas's 16th district,Veronica Escobar,DEM,154108,TRUE
Texas's 16th district,Irene Armendariz-Jackson,REP,84006,FALSE
Texas's 17th district,Pete Sessions,REP,171390,TRUE
Texas's 17th district,Rick Kennedy,DEM,125565,FALSE
Texas's 17th district,Ted Brown,LIB,9918,FALSE
Texas's 18th district,Sheila Jackson Lee,DEM,180952,TRUE
Texas's 18th district,Wendell Champion,REP,58033,FALSE
Texas's 18th district,Luke Spencer,LIB,4514,FALSE
Texas's 18th district,Vince Duncan,IND,3396,FALSE
Texas's 19th district,Jodey Arrington,REP,198198,TRUE
Texas's 19th district,Tom Watson,DEM,60583,FALSE
Texas's 19th district,Joe Burnes,LIB,6271,FALSE
Texas's 20th district,Joaquin Castro,DEM,175078,TRUE
Texas's 20th district,Mauro Garza,REP,89628,FALSE
Texas's 20th district,Jeffrey Blunt,LIB,6017,FALSE
Texas's 21st district,Chip Roy,REP,235740,TRUE
Texas's 21st district,Wendy Davis,DEM,205780,FALSE
Texas's 21st district,Arthur DiBianca,LIB,8666,FALSE
Texas's 22nd district,Troy Nehls,REP,210259,TRUE
Texas's 22nd district,Sri Kulkarni,DEM,181998,FALSE
Texas's 22nd district,Joseph LeBlanc,LIB,15791,FALSE
Texas's 23rd district,Tony Gonzales,REP,149395,TRUE
Texas's 23rd district,Gina Ortiz Jones,DEM,137693,FALSE
Texas's 23rd district,Beto Villela,LIB,8369,FALSE
Texas's 24th district,Beth Van Duyne,REP,167910,TRUE
Texas's 24th district,Candace Valenzuela,DEM,163326,FALSE
Texas's 24th district,Darren Hamilton,LIB,5647,FALSE
Texas's 24th district,Stephen Kuzmich,IND,4229,FALSE
Texas's 24th district,Mark Bauer,IND,2909,FALSE
Texas's 25th district,Roger Williams,REP,220088,TRUE
Texas's 25th district,Julie Oliver,DEM,165697,FALSE
Texas's 25th district,Bill Kelsey,LIB,7738,FALSE
Texas's 26th district,Michael Burgess,REP,261963,TRUE
Texas's 26th district,Carol Iannuzzi,DEM,161009,FALSE
Texas's 26th district,Mark Boler,LIB,9243,FALSE
Texas's 27th district,Michael Cloud,REP,172305,TRUE
Texas's 27th district,Ricardo De La Fuente,DEM,95466,FALSE
Texas's 27th district,Phil Gray,LIB,5482,FALSE
Texas's 28th district,Henry Cuellar,DEM,137494,TRUE
Texas's 28th district,Sandra Whitten,REP,91925,FALSE
Texas's 28th district,Bekah Congdon,LIB,6425,FALSE
Texas's 29th district,Sylvia Garcia,DEM,111305,TRUE
Texas's 29th district,Jaimy Blanco,REP,42840,FALSE
Texas's 29th district,Phil Kurtz,LIB,2328,FALSE
Texas's 30th district,Eddie Bernice Johnson,DEM,204928,TRUE
Texas's 30th district,Tre Pennie,REP,48685,FALSE
Texas's 30th district,Eric Williams,IND,10851,FALSE
Texas's 31st district,John Carter,REP,212695,TRUE
Texas's 31st district,Donna Imam,DEM,176293,FALSE
Texas's 31st district,Clark Patterson,LIB,8922,FALSE
Texas's 31st district, Write-ins,WRI,177,FALSE
Texas's 32nd district,Colin Allred,DEM,178542,TRUE
Texas's 32nd district,Genevieve Collins,REP,157867,FALSE
Texas's 32nd district,Christy Mowrey Peterson,LIB,4946,FALSE
Texas's 32nd district,Jason Sigmon,IND,2332,FALSE
Texas's 33rd district,Marc Veasey,DEM,105317,TRUE
Texas's 33rd district,Fabian Vasquez,REP,39638,FALSE
Texas's 33rd district,Carlos Quintanilla,IND,8071,FALSE
Texas's 33rd district,Jason Reeves,LIB,2586,FALSE
Texas's 33rd district,Rene Welton,IND,1994,FALSE
Texas's 34th district,Filemon Vela,DEM,111439,TRUE
Texas's 34th district,Rey Gonzalez,REP,84119,FALSE
Texas's 34th district,Anthony Cristo,LIB,3222,FALSE
Texas's 34th district,Chris Royal,IND,2247,FALSE
Texas's 35th district,Lloyd Doggett,DEM,176373,TRUE
Texas's 35th district,Jenny Sharon,REP,80795,FALSE
Texas's 35th district,Mark Loewe,LIB,7393,FALSE
Texas's 35th district,Jason Mata,IND,5236,FALSE
Texas's 36th district,Brian Babin,REP,222712,TRUE
Texas's 36th district,Rashad Lewis,DEM,73418,FALSE
Texas's 36th district,Chad Abbey,LIB,4848,FALSE
Texas's 36th district,Hal Ridley,GRN,1571,FALSE
Utah's 1st district,Blake Moore,REP,237988,TRUE
Utah's 1st district,Darren Parry,DEM,104194,FALSE
Utah's 1st district, Write-ins,WRI,169,FALSE
Utah's 2nd district,Chris Stewart,REP,208997,TRUE
Utah's 2nd district,Kael Weston,DEM,129762,FALSE
Utah's 2nd district,Robert Latham,LIB,15465,FALSE
Utah's 3rd district,John Curtis,REP,246674,TRUE
Utah's 3rd district,Devin Thorpe,DEM,96067,FALSE
Utah's 3rd district,Daniel Cummings,CST,8889,FALSE
Utah's 3rd district,Thomas McNeill,UU,7040,FALSE
Utah's 3rd district, Write-ins,WRI,257,FALSE
Utah's 4th district,Burgess Owens,REP,179688,TRUE
Utah's 4th district,Ben McAdams,DEM,175923,FALSE
Utah's 4th district,John Molnar,LIB,13053,FALSE
Utah's 4th district,Jonia Broderick,UU,8037,FALSE
Utah's 4th district, Write-ins,WRI,29,FALSE
Vermont at large,Peter Welch,DEM,238827,TRUE
Vermont at large,Miram Berry,REP,95830,FALSE
Vermont at large,Peter Becker,IND,8065,FALSE
Vermont at large,Marcia Horne,IND,4334,FALSE
Vermont at large,Christopher Helali,COM,3432,FALSE
Vermont at large,Shawn Orr,IND,1926,FALSE
Vermont at large,Jerry Trudell,IND,1881,FALSE
Vermont at large, Write-ins,WRI,544,FALSE
Virginia's 1st district,Rob Wittman,REP,260614,TRUE
Virginia's 1st district,Qasim Rashid,DEM,186923,FALSE
Virginia's 2nd district,Elaine Luria,DEM,185505,TRUE
Virginia's 2nd district,Scott Taylor,REP,164925,FALSE
Virginia's 2nd district,David Foster,IND,9163,FALSE
Virginia's 3rd district,Bobby Scott,DEM,233326,TRUE
Virginia's 3rd district,John Collick,REP,107299,FALSE
Virginia's 4th district,Donald McEachin,DEM,241142,TRUE
Virginia's 4th district,Leon Benjamin,REP,149625,FALSE
Virginia's 5th district,Bob Good,REP,210988,TRUE
Virginia's 5th district,Cameron Webb,DEM,190315,FALSE
Virginia's 6th district,Ben Cline,REP,246606,TRUE
Virginia's 6th district,Nicholas Betts,DEM,134729,FALSE
Virginia's 7th district,Abigail Spanberger,DEM,230893,TRUE
Virginia's 7th district,Nick Freitas,REP,222623,FALSE
Virginia's 8th district,Donald Beyer,DEM,301454,TRUE
Virginia's 8th district,Jeff Jordan,REP,95365,FALSE
Virginia's 9th district,Morgan Griffith,REP,271851,TRUE
Virginia's 10th district,Jennifer Wexton,DEM,268734,TRUE
Virginia's 10th district,Aliscia Andrews,REP,206253,FALSE
Virginia's 11th district,Gerry Connolly,DEM,280725,TRUE
Virginia's 11th district,Manga Anantatmula,REP,111380,FALSE
Washington's 1st district,Suzan DelBene,DEM,249656,TRUE
Washington's 1st district,Jeffrey Beeler,REP,176054,FALSE
Washington's 2nd district,Rick Larsen,DEM,255252,TRUE
Washington's 2nd district,Timothy Hazelo,REP,148384,FALSE
Washington's 3rd district,Jaime Herrera Beutler,REP,235579,TRUE
Washington's 3rd district,Carolyn Long,DEM,181347,FALSE
Washington's 4th district,Dan Newhouse,REP,201923,TRUE
Washington's 4th district,Douglas McKinley,DEM,102549,FALSE
Washington's 4th district, Write-ins,WRI,0,FALSE
Washington's 5th district,Cathy McMorris Rodgers,REP,247815,TRUE
Washington's 5th district,Dave Wilson,DEM,155737,FALSE
Washington's 6th district,Derek Kilmer,DEM,247429,TRUE
Washington's 6th district,Elizabeth Kreiselmaier,REP,168783,FALSE
Washington's 7th district,Pramila Jayapal,DEM,387109,TRUE
Washington's 7th district,Craig Keller,REP,78240,FALSE
Washington's 8th district,Kim Schrier,DEM,212961,TRUE
Washington's 8th district,Jesse Jensen,REP,198360,FALSE
Washington's 8th district, Write-ins,WRI,41,FALSE
Washington's 9th district,Adam Smith,DEM,258771,TRUE
Washington's 9th district,Doug Basler,REP,89697,FALSE
Washington's 10th district,Marilyn Strickland,DEM,167467,TRUE
Washington's 10th district,Beth Doglio,DEM,120644,FALSE
Washington's 10th district, Write-ins,WRI,1157,FALSE
West Virginia's 1st district,David McKinley,REP,180488,TRUE
West Virginia's 1st district,Natalie Cline,DEM,81177,FALSE
West Virginia's 1st district, Write-ins,WRI,17,FALSE
West Virginia's 2nd district,Alex Mooney,REP,172195,TRUE
West Virginia's 2nd district,Cathy Kunkel,DEM,100799,FALSE
West Virginia's 3rd district,Carol Miller,REP,161501,TRUE
West Virginia's 3rd district,Hilary Turner,DEM,64898,FALSE
West Virginia's 3rd district, Write-ins,WRI,27,FALSE
Wisconsin's 1st district,Bryan Steil,REP,238271,TRUE
Wisconsin's 1st district,Roger Polack,DEM,163170,FALSE
Wisconsin's 2nd district,Mark Pocan,DEM,318523,TRUE
Wisconsin's 2nd district,Peter Theron,REP,138306,FALSE
Wisconsin's 3rd district,Ron Kind,DEM,199885,TRUE
Wisconsin's 3rd district,Derrick Van Orden,REP,189619,FALSE
Wisconsin's 4th district,Gwen Moore,DEM,232668,TRUE
Wisconsin's 4th district,Tim Rogers,REP,70769,FALSE
Wisconsin's 4th district,Robert Raymond,IND,7911,FALSE
Wisconsin's 5th district,Scott Fitzgerald,REP,265434,TRUE
Wisconsin's 5th district,Tom Palzewicz,DEM,175902,FALSE
Wisconsin's 6th district,Glenn Grothman,REP,238874,TRUE
Wisconsin's 6th district,Jessica King,DEM,164239,FALSE
Wisconsin's 6th district, Write-ins,WRI,220,FALSE
Wisconsin's 7th district,Tom Tiffany,REP,252046,TRUE
Wisconsin's 7th district,Tricia Zunker,DEM,162741,FALSE
Wisconsin's 8th district,Mike Gallagher,REP,268173,TRUE
Wisconsin's 8th district,Amanda Stuck,DEM,149558,FALSE
Wyoming at large,Liz Cheney,REP,185732,TRUE
Wyoming at large,Lynnette Grey Bull,DEM,66576,FALSE
Wyoming at large,Richard Brubaker,LIB,10154,FALSE
Wyoming at large,Jeffrey Haggit,CST,7905,FALSE
Alabama's 1st district,Jerry Carl,REP,211825,TRUE
Alabama's 1st district,James Averhart,DEM,116949,FALSE
Alabama's 2nd district,Barry Moore,REP,197996,TRUE
Alabama's 2nd district,Phyllis Harvey-Hall,DEM,105286,FALSE
Alabama's 2nd district, Write-ins,WRI,287,FALSE
Alabama's 3rd district,Mike Rogers,REP,217384,TRUE
Alabama's 3rd district,Adia Winfrey,DEM,104595,FALSE
Alabama's 4th district,Robert Aderholt,REP,261553,TRUE
Alabama's 4th district,Rick Neighbors,DEM,56237,FALSE
Alabama's 5th district,Mo Brooks,REP,253094,TRUE
Alabama's 6th district,Gary Palmer,REP,274160,TRUE
Alabama's 6th district, Write-ins,WRI,8101,FALSE
Alabama's 7th district,Terri Sewell,DEM,225742,TRUE
Alaska at large,Don Young,REP,192073,TRUE
Alaska at large,Alyse Galvin,DEM,159506,FALSE
Alaska at large, Write-ins,WRI,336,FALSE
Arizona's 1st district,Tom O'Halleran,DEM,188469,TRUE
Arizona's 1st district,Tiffany Shedd,REP,176709,FALSE
Arizona's 2nd district,Ann Kirkpatrick,DEM,209945,TRUE
Arizona's 2nd district,Brandon Martin,REP,170975,FALSE
Arizona's 2nd district, Write-ins,WRI,134,FALSE
Arizona's 3rd district,Raul Grijalva,DEM,174243,TRUE
Arizona's 3rd district,Daniel Wood,REP,95594,FALSE
Arizona's 4th district,Paul Gosar,REP,278002,TRUE
Arizona's 4th district,Delina DiSanto,DEM,120484,FALSE
Arizona's 4th district, Write-ins,WRI,137,FALSE
Arizona's 5th district,Andy Biggs,REP,262414,TRUE
Arizona's 5th district,Joan Greene,DEM,183171,FALSE
Arizona's 5th district, Write-ins,WRI,72,FALSE
Arizona's 6th district,David Schweikert,REP,217783,TRUE
Arizona's 6th district,Hiral Tipirneni,DEM,199644,FALSE
Arizona's 7th district,Ruben Gallego,DEM,165452,TRUE
Arizona's 7th district,Joshua Barnett,REP,50226,FALSE
Arizona's 7th district, Write-ins,WRI,54,FALSE
Arizona's 8th district,Debbie Lesko,REP,251633,TRUE
Arizona's 8th district,Michael Muscato,DEM,170816,FALSE
Arizona's 8th district, Write-ins,WRI,18,FALSE
Arizona's 9th district,Greg Stanton,DEM,217094,TRUE
Arizona's 9th district,Dave Giles,REP,135180,FALSE
Arkansas's 1st district,Rick Crawford,REP,237596,TRUE
Arkansas's 2nd district,French Hill,REP,184093,TRUE
Arkansas's 2nd district,Joyce Elliott,DEM,148410,FALSE
Arkansas's 3rd district,Steve Womack,REP,214960,TRUE
Arkansas's 3rd district,Celeste Williams,DEM,106325,FALSE
Arkansas's 3rd district,Mike Kalagias,LIB,12977,FALSE
Arkansas's 4th district,Bruce Westerman,REP,191617,TRUE
Arkansas's 4th district,William Hanson,DEM,75750,FALSE
Arkansas's 4th district,Frank Gilbert,LIB,7668,FALSE
California's 10th district,Josh Harder,DEM,166865,TRUE
California's 10th district,Ted Howze,REP,135629,FALSE
California's 11th district,Mark DeSaulnier,DEM,271063,TRUE
California's 11th district,Nisha Sharma,REP,100293,FALSE
California's 12th district,Nancy Pelosi,DEM,281776,TRUE
California's 12th district,Shahid Buttar,DEM,81174,FALSE
California's 13th district,Barbara Lee,DEM,327863,TRUE
California's 13th district,Nikka Piterman,REP,34955,FALSE
California's 14th district,Jackie Speier,DEM,278227,TRUE
California's 14th district,Ran Petel,REP,72684,FALSE
California's 15th district,Eric Swalwell,DEM,242991,TRUE
California's 15th district,Alison Hayden,REP,99710,FALSE
California's 16th district,Jim Costa,DEM,128690,TRUE
California's 16th district,Kevin Cookingham,REP,88039,FALSE
California's 17th district,Ro Khanna,DEM,212137,TRUE
California's 17th district,Ritesh Tandon,REP,85199,FALSE
California's 18th district,Anna Eshoo,DEM,217377,TRUE
California's 18th district,Rishi Kumar,DEM,126750,FALSE
California's 19th district,Zoe Lofgren,DEM,224385,TRUE
California's 19th district,Justin Aguilera,REP,88642,FALSE
California's 1st district,Doug LaMalfa,REP,204190,TRUE
California's 1st district,Audrey Denney,DEM,154073,FALSE
California's 20th district,Jimmy Panetta,DEM,236896,TRUE
California's 20th district,Jeff Gorman,REP,71658,FALSE
California's 22nd district,Devin Nunes,REP,170888,TRUE
California's 22nd district,Phil Arballo,DEM,144251,FALSE
California's 23rd district,Kevin McCarthy,REP,190222,TRUE
California's 23rd district,Kim Mangone,DEM,115896,FALSE
California's 24th district,Salud Carbajal,DEM,212564,TRUE
California's 24th district,Andy Caldwell,REP,149781,FALSE
California's 26th district,Julia Brownley,DEM,208856,TRUE
California's 26th district,Ronda Baldwin-Kennedy,REP,135877,FALSE
California's 27th district,Judy Chu,DEM,221411,TRUE
California's 27th district,Johnny Nalbandian,REP,95907,FALSE
California's 28th district,Adam Schiff,DEM,244271,TRUE
California's 28th district,Eric Early,REP,91928,FALSE
California's 29th district,Tony Cardenas,DEM,119420,TRUE
California's 29th district,Angelica Duenas,DEM,91524,FALSE
California's 2nd district,Jared Huffman,DEM,294435,TRUE
California's 2nd district,Dale Mensing,REP,94320,FALSE
California's 30th district,Brad Sherman,DEM,240038,TRUE
California's 30th district,Mark Reed,REP,105426,FALSE
California's 31st district,Pete Aguilar,DEM,175315,TRUE
California's 31st district,Agnes Gibboney,REP,110735,FALSE
California's 32nd district,Grace Napolitano,DEM,172942,TRUE
California's 32nd district,Joshua Scott,REP,86818,FALSE
California's 33rd district,Ted Lieu,DEM,257094,TRUE
California's 33rd district,James Bradley,REP,123334,FALSE
California's 34th district,Jimmy Gomez,DEM,108792,TRUE
California's 34th district,David Kim,DEM,96554,FALSE
California's 35th district,Norma Torres,DEM,169405,TRUE
California's 35th district,Mike Cargile,REP,74941,FALSE
California's 36th district,Raul Ruiz,DEM,185051,TRUE
California's 36th district,Erin Cruz,REP,121640,FALSE
California's 37th district,Karen Bass,DEM,254916,TRUE
California's 37th district,Errol Webber,REP,41705,FALSE
California's 38th district,Linda Sanchez,DEM,190467,TRUE
California's 38th district,Michael Tolar,DEM,65739,FALSE
California's 3rd district,John Garamendi,DEM,176036,TRUE
California's 3rd district,Tamika Hamilton,REP,145941,FALSE
California's 40th district,Lucille Roybal-Allard,DEM,135572,TRUE
California's 40th district,C. Antonio Delgado,REP,50809,FALSE
California's 41st district,Mark Takano,DEM,167938,TRUE
California's 41st district,Aja Smith,REP,94289,FALSE
California's 42nd district,Ken Calvert,REP,210074,TRUE
California's 42nd district,Liam O'Mara,DEM,157667,FALSE
California's 43rd district,Maxine Waters,DEM,199210,TRUE
California's 43rd district,Joe Collins,REP,78688,FALSE
California's 44th district,Nanette Barragan,DEM,139661,TRUE
California's 44th district,Analilia Joya,DEM,66375,FALSE
California's 45th district,Katie Porter,DEM,221843,TRUE
California's 45th district,Greg Raths,REP,193096,FALSE
California's 46th district,Lou Correa,DEM,157803,TRUE
California's 46th district,James Waters,REP,71716,FALSE
California's 47th district,Alan Lowenthal,DEM,197028,TRUE
California's 47th district,John Briscoe,REP,114371,FALSE
California's 48th district,Michelle Steel,REP,201738,TRUE
California's 48th district,Harley Rouda,DEM,193362,FALSE
California's 49th district,Mike Levin,DEM,205349,TRUE
California's 49th district,Brian Maryott,REP,181157,FALSE
California's 4th district,Tom McClintock,REP,247291,TRUE
California's 4th district,Brynne Kennedy,DEM,194731,FALSE
California's 50th district,Darrell Issa,REP,195510,TRUE
California's 50th district,Ammar Campa-Najjar,DEM,166859,FALSE
California's 51st district,Juan Vargas,DEM,165596,TRUE
California's 51st district,Juan Hidalgo,REP,76841,FALSE
California's 52nd district,Scott Peters,DEM,244145,TRUE
California's 52nd district,Jim DeBello,REP,152350,FALSE
California's 53rd district,Sara Jacobs,DEM,199244,TRUE
California's 53rd district,Georgette Gomez,DEM,135614,FALSE
California's 5th district,Mike Thompson,DEM,271233,TRUE
California's 5th district,Scott Giblin,REP,85227,FALSE
California's 6th district,Doris Matsui,DEM,229648,TRUE
California's 6th district,Christine Bish,REP,83466,FALSE
California's 7th district,Ami Bera,DEM,217416,TRUE
California's 7th district,Buzz Patterson,REP,166549,FALSE
California's 8th district,Jay Obernolte,REP,158711,TRUE
California's 8th district,Christine Bubser,DEM,124400,FALSE
California's 9th district,Jerry McNerney,DEM,174252,TRUE
California's 9th district,Tony Amador,REP,128358,FALSE
Colorado's 1st district,Diana DeGette,DEM,331624,TRUE
Colorado's 1st district,Shane Bolling,REP,105955,FALSE
Colorado's 1st district,Kyle Furey,LIB,8749,FALSE
Colorado's 1st district,Paul Fiorino,UTY,2524,FALSE
Colorado's 1st district,Jan Kok,APV,1441,FALSE
Colorado's 2nd district,Joe Neguse,DEM,316925,TRUE
Colorado's 2nd district,Charlie Winn,REP,182547,FALSE
Colorado's 2nd district,Thom Atkinson,LIB,13657,FALSE
Colorado's 2nd district,Gary Swing,BFP,2534,FALSE
Colorado's 3rd district,Lauren Boebert,REP,220634,TRUE
Colorado's 3rd district,Diane Mitsch Bush,DEM,194122,FALSE
Colorado's 3rd district,John Keil,LIB,10298,FALSE
Colorado's 3rd district,Christopher Milton,UTY,4265,FALSE
Colorado's 4th district,Ken Buck,REP,285606,TRUE
Colorado's 4th district,Ike McCorkle,DEM,173945,FALSE
Colorado's 4th district,Bruce Griffith,LIB,11026,FALSE
Colorado's 4th district,Laura Ireland,UTY,4530,FALSE
Colorado's 5th district,Doug Lamborn,REP,249013,TRUE
Colorado's 5th district,Jillian Freeland,DEM,161600,FALSE
Colorado's 5th district,Ed Duffett,LIB,14777,FALSE
Colorado's 5th district,Marcus Murphy,UNA,3708,FALSE
Colorado's 5th district,Rebecca Keltie,UTY,3309,FALSE
Colorado's 6th district,Jason Crow,DEM,250366,TRUE
Colorado's 6th district,Steve House,REP,175227,FALSE
Colorado's 6th district,Norm Olsen,LIB,9085,FALSE
Colorado's 6th district,Jaimie Kulikowski,UTY,3884,FALSE
Colorado's 7th district,Ed Perlmutter,DEM,250525,TRUE
Colorado's 7th district,Casper Stockham,REP,159301,FALSE
Colorado's 7th district,Ken Biles,LIB,11510,FALSE
Colorado's 7th district,David Olszta,UTY,2355,FALSE
Connecticut's 1st district,John Larson,DEM,222668,TRUE
Connecticut's 1st district,Mary Fay,REP,122111,FALSE
Connecticut's 1st district,Tom McCormick,GRN,4458,FALSE
Connecticut's 2nd district,Joe Courtney,DEM,217982,TRUE
Connecticut's 2nd district,Justin Anderson,REP,140340,FALSE
Connecticut's 2nd district,Cassandra Martineau,GRN,4949,FALSE
Connecticut's 2nd district,Daniel Reale,LIB,3901,FALSE
Connecticut's 3rd district,Rosa DeLauro,DEM,203265,TRUE
Connecticut's 3rd district,Margaret Streicker,REP,137596,FALSE
Connecticut's 3rd district,Justin Paglino,GRN,5240,FALSE
Connecticut's 4th district,Jim Himes,DEM,223832,TRUE
Connecticut's 4th district,Jonathan Riddle,REP,130627,FALSE
Connecticut's 4th district,Brian Merlen,IP,5656,FALSE
Connecticut's 4th district, Write-ins,WRI,10,FALSE
Connecticut's 5th district,Jahana Hayes,DEM,192484,TRUE
Connecticut's 5th district,David Sullivan,REP,151988,FALSE
Connecticut's 5th district,Bruce Walczak,IP,5052,FALSE
United States's 0th district,The Democratic candidate,DEM,76727740,TRUE
United States's 0th district,The Republican candidate,REP,72441831,FALSE
United States's 0th district, Others,OTH,2795847,FALSE
California's 21st district,David Valadao,REP,85928,TRUE
California's 21st district,TJ Cox,DEM,84406,FALSE
California's 25th district,Mike Garcia,REP,169638,TRUE
California's 25th district,Christy Smith,DEM,169305,FALSE
California's 39th district,Young Kim,REP,173946,TRUE
California's 39th district,Gil Cisneros,DEM,169837,FALSE
